level,experience,job_title,median_salary,profile_count
Senior Level,10-19 years,Information_Systems_(IS)_Analyst,79817.84,139
Executive Level,20 years or more,Information_Systems_(IS)_Analyst,75432.96,70
Entry Level,Less than 1 year,Information_Systems_(IS)_Manager,65569.73,21
Junior Level,1-4 years,Information_Systems_(IS)_Manager,77455.82,152
Mid Level,5-9 years,Information_Systems_(IS)_Manager,86494.56,194
Senior Level,10-19 years,Information_Systems_(IS)_Manager,97268.17,236
Executive Level,20 years or more,Information_Systems_(IS)_Manager,102629.54,140
Junior Level,1-4 years,Information_Systems_(IS)_Supervisor,81554.32,12
Mid Level,5-9 years,Information_Systems_(IS)_Supervisor,65697.07,10
Senior Level,10-19 years,Information_Systems_(IS)_Supervisor,75496.69,6
Executive Level,20 years or more,Information_Systems_(IS)_Supervisor,96465.89,10
Entry Level,Less than 1 year,Information_Technology_(IT)_Architect,70780.71,24
Junior Level,1-4 years,Information_Technology_(IT)_Architect,96673.9,89
Mid Level,5-9 years,Information_Technology_(IT)_Architect,118417.63,89
Senior Level,10-19 years,Information_Technology_(IT)_Architect,129752.56,274
Executive Level,20 years or more,Information_Technology_(IT)_Architect,135600.07,315
Entry Level,Less than 1 year,,15.61,37
Junior Level,1-4 years,,17.17,240
Mid Level,5-9 years,,20.62,89
Senior Level,10-19 years,Information_Technology_(IT)_Assistant,21.75,32
Executive Level,20 years or more,Information_Technology_(IT)_Assistant,20.0,23
Entry Level,Less than 1 year,Information_Technology_(IT)_Auditor,64048.16,112
Junior Level,1-4 years,Information_Technology_(IT)_Auditor,74087.91,401
Mid Level,5-9 years,Information_Technology_(IT)_Auditor,94501.87,163
Senior Level,10-19 years,Information_Technology_(IT)_Auditor,102703.61,49
Executive Level,20 years or more,Information_Technology_(IT)_Auditor,122517.67,26
Entry Level,Less than 1 year,Information_Technology_(IT)_Consultant,68378.22,380
Junior Level,1-4 years,Information_Technology_(IT)_Consultant,74796.06,1804
Mid Level,5-9 years,Information_Technology_(IT)_Consultant,92724.07,1137
Senior Level,10-19 years,Information_Technology_(IT)_Consultant,106408.67,1043
Executive Level,20 years or more,Information_Technology_(IT)_Consultant,121682.46,707
Entry Level,Less than 1 year,Information_Technology_(IT)_Coordinator,49685.97,21
Junior Level,1-4 years,Information_Technology_(IT)_Coordinator,52198.42,224
Mid Level,5-9 years,Information_Technology_(IT)_Coordinator,54433.5,156
Senior Level,10-19 years,Information_Technology_(IT)_Coordinator,59981.98,114
Executive Level,20 years or more,Information_Technology_(IT)_Coordinator,62054.56,96
Entry Level,Less than 1 year,Information_Technology_(IT)_Director,80624.35,26
